# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
笨,笨,bèn,"stupid
foolish
silly",今天才发现是我打错了号码，我真是太笨了。”,今天才發現是我打錯了號碼，我真是太笨了。”,jīn tiān cái fā xiàn shì wǒ dǎ cuò le hào mǎ ， wǒ zhēn shì tài bèn le 。”,I only realized today that I had been calling the wrong number. I was so stupid.”
以为,以為,yǐ wéi,"to believe
to be under the impression",你的号码最后一位数是三，但我以为是八，一直打错的电话号码，总是打不通。,你的號碼最後一位數是三，但我以為是八，一直打錯的電話號碼，總是打不通。,nǐ de hào mǎ zuì hòu yí wèi shù shì sān ， dàn wǒ yǐ wéi shì bā ， yì zhí dǎ cuò de diàn huà hào mǎ ， zǒng shì dǎ bù tōng 。,"The last digit of your number is 3, but I thought it was 8. I kept on calling the wrong number and couldn’t get through."
联系,聯繫,lián xì,contact,高静笑着说：“不是说没有困难也可以和你联系吗？”,高靜笑著說：“不是說沒有困難也可以和你聯繫嗎？”,gāo jìng xiào zhe shuō ： “ bú shì shuō méi yǒu kùn nan yě kě yǐ hé nǐ lián xì ma ？”,"Gao Jing smiled and said, “Didn’t you say that I could contact you even if I didn’t have any difficulties?”"
结束,結束,jié shù,"to finish
to end",会议时间很长，一直到中午十二点才结束。会议一结束，李河就打电话给高静了。,會議時間很長，一直到中午十二點才結束。會議一結束，李河就打電話給高靜了。,huì yì shí jiān hěn cháng ， yì zhí dào zhōng wǔ shí èr diǎn cái jié shù 。 huì yì yì jié shù ， lǐ hé jiù dǎ diàn huà gěi gāo jìng le 。,"The meeting lasted a long time and didn’t end until 12 noon. As soon as the meeting ended, Li He called Gao Jing."
记得,記得,jì de,to remember,“李先生，你好！我是高静，一个月前在咖啡馆和你见过的，你还记得吗？”,“李先生，你好！我是高靜，一個月前在咖啡館和你見過的，你還記得嗎？”,“ lǐ xiān sheng ， nǐ hǎo ！ wǒ shì gāo jìng ， yí ge yuè qián zài kā fēi guǎn hé nǐ jiàn guò de ， nǐ hái jì de ma ？”,".. “Mr. Li, hello! I’m Gao Jing. I met you in a cafe a month ago. Do you remember?”"
礼貌,禮貌,lǐ mào,"courteous
polite",他接了电话，有个好听的声音礼貌地问：“请问，是李河先生吗？”,他接了電話，有個好聽的聲音禮貌地問：“請問，是李河先生嗎？”,tā jiē le diàn huà ， yǒu ge hǎo tīng de shēng yīn lǐ mào de wèn ： “ qǐng wèn ， shì lǐ hé xiān sheng ma ？”,"He answered the phone, and a pleasant voice asked politely, “Excuse me, is this Mr. Li He?”"
响,響,xiǎng,"to make a sound
to ring",一天上午，李河正在开会，手机突然响了，是一个不认识的号码打过来的。,一天上午，李河正在開會，手機突然響了，是一個不認識的號碼打過來的。,yì tiān shàng wǔ ， lǐ hé zhèng zài kāi huì ， shǒu jī tū rán xiǎng le ， shì yí ge bú rèn shi de hào mǎ dǎ guò lái de 。,"One morning when Li He was in a meeting, his cell phone suddenly rang. The call was from an unknown number."
开会,開會,kāi huì,to hold a meeting,一天上午，李河正在开会，手机突然响了，是一个不认识的号码打过来的。,一天上午，李河正在開會，手機突然響了，是一個不認識的號碼打過來的。,yì tiān shàng wǔ ， lǐ hé zhèng zài kāi huì ， shǒu jī tū rán xiǎng le ， shì yí ge bú rèn shi de hào mǎ dǎ guò lái de 。,"One morning when Li He was in a meeting, his cell phone suddenly rang. The call was from an unknown number."
舒服,舒服,shū fu,"comfortable
feeling well",现在是四月，天气不冷不热，非常舒服。,現在是四月，天氣不冷不熱，非常舒服。,xiàn zài shì sì yuè ， tiān qì bù lěng bú rè ， fēi cháng shū fu 。,"It was April, and the weather was neither hot nor cold. It was very comfortable."
加班,加班,jiā bān,to work overtime,他最近工作很辛苦，每天都要加班，,他最近工作很辛苦，每天都要加班，,tā zuì jìn gōng zuò hěn xīn kǔ ， měi tiān dōu yào jiā bān ，,Li He had been working very hard recently and had to work overtime every day.
辛苦,辛苦,xīn kǔ,"hard
exhausting
with much toil",他最近工作很辛苦，每天都要加班，,他最近工作很辛苦，每天都要加班，,tā zuì jìn gōng zuò hěn xīn kǔ ， měi tiān dōu yào jiā bān ，,Li He had been working very hard recently and had to work overtime every day.
最近,最近,zuì jìn,"recently
lately",他最近工作很辛苦，每天都要加班，,他最近工作很辛苦，每天都要加班，,tā zuì jìn gōng zuò hěn xīn kǔ ， měi tiān dōu yào jiā bān ，,Li He had been working very hard recently and had to work overtime every day.
介绍,介紹,jiè shào,"to introduce (sb to sb)
to give a presentation
introduction",他本来还想介绍春草给高静认识呢，现在看来是没有这个机会了。,他本來還想介紹春草給高靜認識呢，現在看來是沒有這個機會了。,tā běn lái hái xiǎng jiè shào chūn cǎo gěi gāo jìng rèn shi ne ， xiàn zài kàn lái shì méi yǒu zhè ge jī huì le 。,"He originally wanted to introduce Chun Cao to Gao Jing, but now it seemed that he wouldn’t get that chance."
约,約,yuē,"to make an appointment
to invite
to arrange",看完信，李河笑了。和李河猜想的一样，春草约自己见面有别的原因。,看完信，李河笑了。和李河猜想的一樣，春草約自己見面有別的原因。,kàn wán xìn ， lǐ hé xiào le 。 hé lǐ hé cāi xiǎng de yí yàng ， chūn cǎo yuē zì jǐ jiàn miàn yǒu bié de yuán yīn 。,"After reading the letter, Li He smiled. As Li He guessed, Chun Cao had another reason for arranging to meet him."
解决,解決,jiě jué,"to settle (a dispute)
to resolve
to solve",好了，现在所有的事情都解决了，以后我不会再给您写信了。,好了，現在所有的事情都解決了，以後我不會再給您寫信了。,hǎo le ， xiàn zài suǒ yǒu de shì qing dōu jiě jué le ， yǐ hòu wǒ bú huì zài gěi nín xiě xìn le 。,"Okay, now everything is resolved. I won’t write to you again in the future."
本来,本來,běn lái,"original
originally
at first",本来是想请您帮我找一个我的中学同学，,本來是想請您幫我找一個我的中學同學，,běn lái shì xiǎng qǐng nín bāng wǒ zhǎo yí ge wǒ de zhōng xué tóng xué ，,.. I originally wanted you to help me find a high school classmate of mine.
关于,關於,guān yú,"concerning
with regard to",关于另一件想请您帮忙的事，,關於另一件想請您幫忙的事，,guān yú lìng yí jiàn xiǎng qǐng nín bāng máng de shì ，,"Regarding the other matter that I wanted to ask for your help with, .."
优秀,優秀,yōu xiù,"outstanding
excellent",我知道您是一位优秀的警察，您可能不同意我的答案。,我知道您是一位優秀的警察，您可能不同意我的答案。,wǒ zhī dào nín shì yí wèi yōu xiù de jǐng chá ， nín kě néng bù tóng yì wǒ de dá àn 。,"I know that you are an outstanding police officer, and you may disagree with my answer."
答案,答案,dá àn,"answer
solution",我的答案是：是的，所有的警察都和我书里的警察一样没用。,我的答案是：是的，所有的警察都和我書裡的警察一樣沒用。,wǒ de dá àn shì ： shì de ， suǒ yǒu de jǐng chá dōu hé wǒ shū lǐ de jǐng chá yí yàng méi yòng 。,"My answer is: Yes, the police are all as useless as the police in my books."
没用,沒用,méi yòng,useless,“在作者春草心中，他真的觉得警察和他书里说的一样没用吗？”，,“在作者春草心中，他真的覺得警察和他書裡說的一樣沒用嗎？”，,“ zài zuò zhě chūn cǎo xīn zhōng ， tā zhēn de jué de jǐng chá hé tā shū lǐ shuō de yí yàng méi yòng ma ？”，,"“In the author Chun Cao’s mind, does he really think that the police are as useless as he says in his books?”"
原因,原因,yuán yīn,"cause
origin
reason",请原谅，我想见您的原因，除了回答您的问题，,請原諒，我想見您的原因，除了回答您的問題，,qǐng yuán liàng ， wǒ xiǎng jiàn nín de yuán yīn ， chú le huí dá nín de wèn tí ，,"The reason why I wanted to meet you, apart from answering your question, .."
见面,見面,jiàn miàn,"to meet
to see each other",您好！很抱歉，昨天我没有和您见面。,您好！很抱歉，昨天我沒有和您見面。,nín hǎo ！ hěn bào qiàn ， zuó tiān wǒ méi yǒu hé nín jiàn miàn 。,Hello! So sorry I didn’t meet with you yesterday. Please forgive me.
抱歉,抱歉,bào qiàn,"to be sorry
to feel apologetic
sorry!",您好！很抱歉，昨天我没有和您见面。,您好！很抱歉，昨天我沒有和您見面。,nín hǎo ！ hěn bào qiàn ， zuó tiān wǒ méi yǒu hé nín jiàn miàn 。,Hello! So sorry I didn’t meet with you yesterday. Please forgive me.
打印,打印,dǎ yìn,to print,这封信还是用打印机打印的，内容如下：,這封信還是用打印機打印的，內容如下：,zhè fēng xìn hái shi yòng dǎ yìn jī dǎ yìn de ， nèi róng rú xià ：,"This letter was also printed out using a printer, and the content was as follows:"
内容,內容,nèi róng,content,这封信还是用打印机打印的，内容如下：,這封信還是用打印機打印的，內容如下：,zhè fēng xìn hái shi yòng dǎ yìn jī dǎ yìn de ， nèi róng rú xià ：,"This letter was also printed out using a printer, and the content was as follows:"
一遍,一遍,yí biàn,"one time (all the way through)
once through",把春草的信又看了一遍，然后就上床睡觉了。,把春草的信又看了一遍，然後就上床睡覺了。,bǎ chūn cǎo de xìn yòu kàn le yí biàn ， rán hòu jiù shàng chuáng shuì jiào le 。,He read through Chun Cao’s letter one more time and then went to bed.
书桌,書桌,shū zhuō,desk,回到家，李河洗完澡，坐在书桌前，,回到家，李河洗完澡，坐在書桌前，,huí dào jiā ， lǐ hé xǐ wán zǎo ， zuò zài shū zhuō qián ，,"When he got home, Li He took a shower and sat down at his desk."
才,才,cái,"only then
only",高静笑着问：“只有遇到困难，才能和你联系吗？没有困难，也可以打电话给你吧？”,高靜笑著問：“只有遇到困難，才能和你聯繫嗎？沒有困難，也可以打電話給你吧？”,gāo jìng xiào zhe wèn ： “ zhǐ yǒu yù dào kùn nan ， cái néng hé nǐ lián xì ma ？ méi yǒu kùn nan ， yě kě yǐ dǎ diàn huà gěi nǐ ba ？”,"Gao Jing smiled and asked, “Can I only contact you if I run into difficulties? If I don’t have any difficulties, can I still call you?”"
还,還,huán,"to return
to pay back",“如果你遇到困难，可以打电话给我，钱就不用还了。”,“如果你遇到困難，可以打電話給我，錢就不用還了。”,“ rú guǒ nǐ yù dào kùn nan ， kě yǐ dǎ diàn huà gěi wǒ ， qián jiù bú yòng huán le 。”,"“If you run into difficulties, you can call me. You don’t have to pay back the money.”"
困难,困難,kùn nan,"difficult
challenging",“如果你遇到困难，可以打电话给我，钱就不用还了。”,“如果你遇到困難，可以打電話給我，錢就不用還了。”,“ rú guǒ nǐ yù dào kùn nan ， kě yǐ dǎ diàn huà gěi wǒ ， qián jiù bú yòng huán le 。”,"“If you run into difficulties, you can call me. You don’t have to pay back the money.”"
遇到,遇到,yù dào,"to meet
to run into
to come across",“如果你遇到困难，可以打电话给我，钱就不用还了。”,“如果你遇到困難，可以打電話給我，錢就不用還了。”,“ rú guǒ nǐ yù dào kùn nan ， kě yǐ dǎ diàn huà gěi wǒ ， qián jiù bú yòng huán le 。”,"“If you run into difficulties, you can call me. You don’t have to pay back the money.”"
纸,紙,zhǐ,paper,李河笑着把自己的电话号码写在一张纸上，然后放到她手里：,李河笑著把自己的電話號碼寫在一張紙上，然後放到她手裡：,lǐ hé xiào zhe bǎ zì jǐ de diàn huà hào mǎ xiě zài yì zhāng zhǐ shang ， rán hòu fàng dào tā shǒu lǐ ：,"Li He smiled and wrote his phone number on a piece of paper, and then put it in her hand:"
失望,失望,shī wàng,"to be disappointed
to lose hope",但又觉得春草没有来，说给高静听只会让她失望。,但又覺得春草沒有來，說給高靜聽只會讓她失望。,dàn yòu jué de chūn cǎo méi yǒu lái ， shuō gěi gāo jìng tīng zhǐ huì ràng tā shī wàng 。,"But he thought that since Chun Cao hadn’t come, telling Gao Jing would only disappoint her."
轻松,輕鬆,qīng sōng,"light
relaxed",高静不但漂亮，而且可爱，和她说话很轻松，李河喜欢和她说话。,高靜不但漂亮，而且可愛，和她說話很輕鬆，李河喜歡和她說話。,gāo jìng bú dàn piào liang ， ér qiě kě ài ， hé tā shuō huà hěn qīng sōng ， lǐ hé xǐ huan hé tā shuō huà 。,Gao Jing was not only beautiful but also cute. It was easy to talk to her. Li He liked talking with her.
小姐,小姐,xiǎo jiě,"young lady
miss",“高小姐，你好。”李河说。,“高小姐，你好。”李河說。,“ gāo xiǎo jiě ， nǐ hǎo 。” lǐ hé shuō 。,"“Hello, Miss Gao,” said Li He."
我,我,wǒ,"I
me",“对不起，请原谅，刚刚我说错话了，,“對不起，請原諒，剛剛我說錯話了，,“ duì bu qǐ ， qǐng yuán liàng ， gāng gang wǒ shuō cuò huà le ，,"“I’m sorry, please forgive me. I said the wrong thing just now."
原谅,原諒,yuán liàng,"to excuse
to forgive
to pardon",“对不起，请原谅，刚刚我说错话了，,“對不起，請原諒，剛剛我說錯話了，,“ duì bu qǐ ， qǐng yuán liàng ， gāng gang wǒ shuō cuò huà le ，,"“I’m sorry, please forgive me. I said the wrong thing just now."
不管,不管,bù guǎn,"no matter (what, how)
regardless of",不管有没有坏人，我都会一直努力工作。”,不管有沒有壞人，我都會一直努力工作。”,bù guǎn yǒu méi yǒu huài rén ， wǒ dōu huì yì zhí nǔ lì gōng zuò 。”,"Regardless of whether there are bad guys or not, I will always work hard.”"
却,卻,què,"but
yet
however",李河笑着说：“你的想法很特别，但是对我来说，却不是这样的。,李河笑著說：“你的想法很特別，但是對我來說，卻不是這樣的。,lǐ hé xiào zhe shuō ： “ nǐ de xiǎng fǎ hěn tè bié ， dàn shì duì wǒ lái shuō ， què bú shì zhè yàng de 。,"Li He smiled and said, “You have an unusual way of thinking. But to me, it’s not like that."
一直,一直,yì zhí,"continuously
all along",如果警察一直努力工作，那其他的坏人就会变少，这也是好事呢。”,如果警察一直努力工作，那其他的壞人就會變少，這也是好事呢。”,rú guǒ jǐng chá yì zhí nǔ lì gōng zuò ， nà qí tā de huài rén jiù huì biàn shǎo ， zhè yě shì hǎo shì ne 。”,"If the police keep working hard, there will be fewer other bad guys, which is also a good thing.”"
努力,努力,nǔ lì,"great effort
to strive
to try hard",但是警察没有抓到坏人，就会一直努力工作。,但是警察沒有抓到壞人，就會一直努力工作。,dàn shì jǐng chá méi yǒu zhuā dào huài rén ， jiù huì yì zhí nǔ lì gōng zuò 。,But the police will keep working hard if they don’t catch the bad guy.
当然,當然,dāng rán,"certainly
of course",女人笑了笑，说：“警察没有抓到坏人，这当然不是好事。,女人笑了笑，說：“警察沒有抓到壞人，這當然不是好事。,nǚ rén xiào le xiào ， shuō ： “ jǐng chá méi yǒu zhuā dào huài rén ， zhè dāng rán bú shì hǎo shì 。,"The woman smiled and said, “Of course, it’s not a good thing that the police didn’t catch the bad guy."
有趣,有趣,yǒu qù,"interesting
fascinating
amusing",第6章、漂亮有趣的女人,第6章、漂亮有趣的女人,dì 6 zhāng 、 piào liang yǒu qù de nǚ rén,Chapter 6: A Beautiful and Interesting Woman
成功,成功,chéng gōng,"success
to succeed",“是的，很喜欢。这是作家春草最成功的小说，您也喜欢吗？”,“是的，很喜歡。這是作家春草最成功的小說，您也喜歡嗎？”,“ shì de ， hěn xǐ huan 。 zhè shì zuò jiā chūn cǎo zuì chéng gōng de xiǎo shuō ， nín yě xǐ huan ma ？”,".. “Yes, I like it very much. This is the author Chun Cao’s most successful novel. Do you like it too?”"
吸引,吸引,xī yǐn,"to attract (interest, investment etc)",李河被她的眼睛和手里的书吸引，那本书是《天花板上的客人》。,李河被她的眼睛和手裡的書吸引，那本書是《天花板上的客人》。,lǐ hé bèi tā de yǎn jing hé shǒu lǐ de shū xī yǐn ， nà běn shū shì 《 tiān huā bǎn shang de kè rén 》。,Li He was attracted by her eyes and the book in her hand. The book was The Guest in the Ceiling.
口袋,口袋,kǒu dài,pocket,女人在口袋里找钱包，找了很久都没有找到。,女人在口袋裡找錢包，找了很久都沒有找到。,nǚ rén zài kǒu dài lǐ zhǎo qián bāo ， zhǎo le hěn jiǔ dōu méi yǒu zhǎo dào 。,"The woman looked for her purse in her pocket. She looked for a long time, but she still couldn’t find it."
年轻,年輕,nián qīng,young,站在李河前面的是一个年轻女人，个子不高，穿着黑色的大衣，戴着红色的围巾。,站在李河前面的是一個年輕女人，個子不高，穿著黑色的大衣，戴著紅色的圍巾。,zhàn zài lǐ hé qián miàn de shì yí ge nián qīng nǚ rén ， gè zi bù gāo ， chuān zhe hēi sè de dà yī ， dài zhe hóng sè de wéi jīn 。,"Standing in front of Li He was a young woman. She was not tall, and she was wearing a black coat and a red scarf."
任何,任何,rèn hé,"any
whatever",只要找到原因，任何事情都能弄清楚。,只要找到原因，任何事情都能弄清楚。,zhǐ yào zhǎo dào yuán yīn ， rèn hé shì qing dōu néng nòng qīng chu 。,"As long as the reason was found, everything could be figured out."
所有,所有,suǒ yǒu,"all
every",李河觉得世界上所有的事情都是有原因的，,李河覺得世界上所有的事情都是有原因的，,lǐ hé jué de shì jiè shang suǒ yǒu de shì qing dōu shì yǒu yuán yīn de ，,Li He felt that there was a reason for everything in the world.
地址,地址,dì zhǐ,address,很少有人知道他的电话和地址。,很少有人知道他的電話和地址。,hěn shǎo yǒu rén zhī dào tā de diàn huà hé dì zhǐ 。,.. and very few people knew his phone number and address.
交流,交流,jiāo liú,"communication
interaction
to have social contact (with sb)",李河笑了笑，说：“我猜的，既然他那么不喜欢和人交流，,李河笑了笑，說：“我猜的，既然他那麼不喜歡和人交流，,lǐ hé xiào le xiào ， shuō ： “ wǒ cāi de ， jì rán tā nà me bù xǐ huan hé rén jiāo liú ，,"Li He smiled and said, “I guessed that since he dislikes interacting with people that much, .."
猜,猜,cāi,to guess,李河笑了笑，说：“我猜的，既然他那么不喜欢和人交流，,李河笑了笑，說：“我猜的，既然他那麼不喜歡和人交流，,lǐ hé xiào le xiào ， shuō ： “ wǒ cāi de ， jì rán tā nà me bù xǐ huan hé rén jiāo liú ，,"Li He smiled and said, “I guessed that since he dislikes interacting with people that much, .."
吃惊,吃驚,chī jīng,"to be startled
to be shocked
to be amazed",“是的，你怎么知道？”小九有点儿吃惊。,“是的，你怎麼知道？”小九有點兒吃驚。,“ shì de ， nǐ zěn me zhī dào ？” xiǎo jiǔ yǒu diǎn'r chī jīng 。,"“Yes, how did you know?” Xiaojiu was a little surprised."
打印机,打印機,dǎ yìn jī,printer,这下李河明白了，问道：“信是打印机打印的吗？”,這下李河明白了，問道：“信是打印機打印的嗎？”,zhè xià lǐ hé míng bai le ， wèn dào ： “ xìn shì dǎ yìn jī dǎ yìn de ma ？”,"This time Li He understood and asked, “Are the letters printed out using a printer?”"
而且,而且,ér qiě,(not only ...) but also,不但更不愿意和人交流了，而且也不发表新小说了，,不但更不願意和人交流了，而且也不發表新小說了，,bú dàn gèng bú yuàn yì hé rén jiāo liú le ， ér qiě yě bù fā biǎo xīn xiǎo shuō le ，,"Not only was he unwilling to interact with other people, he also stopped publishing new novels."
打扰,打擾,dǎ rǎo,"to disturb
to bother
to trouble",他讨厌被打扰，互联网上没有他的电话和地址，更没有他的照片。,他討厭被打擾，互聯網上沒有他的電話和地址，更沒有他的照片。,tā tǎo yàn bèi dǎ rǎo ， hù lián wǎng shang méi yǒu tā de diàn huà hé dì zhǐ ， gèng méi yǒu tā de zhào piàn 。,"He hated being bothered, and there was no phone number, address, or photo of him on the internet."
讨厌,討厭,tǎo yàn,"to dislike
to loathe",他讨厌被打扰，互联网上没有他的电话和地址，更没有他的照片。,他討厭被打擾，互聯網上沒有他的電話和地址，更沒有他的照片。,tā tǎo yàn bèi dǎ rǎo ， hù lián wǎng shang méi yǒu tā de diàn huà hé dì zhǐ ， gèng méi yǒu tā de zhào piàn 。,"He hated being bothered, and there was no phone number, address, or photo of him on the internet."
后来,後來,hòu lái,"afterwards
later",后来他又发表过另外四本侦探小说，一本比一本火。,後來他又發表過另外四本偵探小說，一本比一本火。,hòu lái tā yòu fā biǎo guò lìng wài sì běn zhēn tàn xiǎo shuō ， yì běn bǐ yì běn huǒ 。,"Later, he published four other detective novels, each one more popular than the last."
查找,查找,chá zhǎo,"to search for
to look up",收到春草的信后，李河在互联网上查找过“作家春草”的信息，,收到春草的信後，李河在互聯網上查找過“作家春草”的信息，,shōu dào chūn cǎo de xìn hòu ， lǐ hé zài hù lián wǎng shang chá zhǎo guò “ zuò jiā chūn cǎo ” de xìn xī ，,"After receiving Chun Cao’s letter, Li He searched the internet for information about the “author Chun Cao”."
互联网,互聯網,hù lián wǎng,internet,收到春草的信后，李河在互联网上查找过“作家春草”的信息，,收到春草的信後，李河在互聯網上查找過“作家春草”的信息，,shōu dào chūn cǎo de xìn hòu ， lǐ hé zài hù lián wǎng shang chá zhǎo guò “ zuò jiā chūn cǎo ” de xìn xī ，,"After receiving Chun Cao’s letter, Li He searched the internet for information about the “author Chun Cao”."
街道,街道,jiē dào,"street
subdistrict
residential district",李河看着咖啡馆和旁边街道上的男人，猜想会不会其中一个就是春草。,李河看著咖啡館和旁邊街道上的男人，猜想會不會其中一個就是春草。,lǐ hé kàn zhe kā fēi guǎn hé páng biān jiē dào shang de nán rén ， cāi xiǎng huì bú huì qí zhōng yí ge jiù shì chūn cǎo 。,"Li He looked at the men in the cafe and on the street beside it, wondering if one of them was Chun Cao."
迟到,遲到,chí dào,to arrive late,现在已经三点过五分了，春草还没有来，他迟到了。,現在已經三點過五分了，春草還沒有來，他遲到了。,xiàn zài yǐ jīng sān diǎn guò wǔ fēn le ， chūn cǎo hái méi yǒu lái ， tā chí dào le 。,"It was now 3:05, and Chun Cao hadn’t arrived yet. He was late."
章,章,zhāng,"chapter
section
clause",第3章、特别的人,第3章、特別的人,dì 3 zhāng 、 tè bié de rén,Chapter 3: An Unusual Person
中医,中醫,zhōng yī,"traditional Chinese medicine (TCM)
traditional Chinese doctor",在中国，相比于比较年轻的体育文化，中医文化的历史更长。,在中國，相比於比較年輕的體育文化，中醫文化的歷史更長。,zài zhōng guó xiāng bǐ yú bǐ jiào nián qīng de tǐ yù wén huà zhōng yī wén huà de lì shǐ gèng cháng,"In China, in comparison to sports culture, which is relatively new, Chinese medicine culture has a longer history."
被,被,bèi,"by
(indicates passive-voice clauses)",撞得很严重，黑色小汽车的车头和车门都被撞坏了。,撞得很嚴重，黑色小汽車的車頭和車門都被撞壞了。,zhuàng de hěn yán zhòng hēi sè xiǎo qì chē de chē tóu hé chē mén dōu bèi zhuàng huài le,The collision was severe. The front and doors of the black car were damaged.
炸,炸,zhá,to deep fry,大部分臭豆腐都是炸的，颜色黑黑的，这让不少人害怕。,大部分臭豆腐都是炸的，顏色黑黑的，這讓不少人害怕。,dà bù fen chòu dòu fu dōu shì zhá de yán sè hēi hēi de zhè ràng bù shǎo rén hài pà,"Most stinky tofu is deep fried. It is blackish in color, which makes many people afraid."
大部分,大部分,dà bù fen,"in large part
the greater part
the majority",大部分臭豆腐都是炸的，颜色黑黑的，这让不少人害怕。,大部分臭豆腐都是炸的，顏色黑黑的，這讓不少人害怕。,dà bù fen chòu dòu fu dōu shì zhá de yán sè hēi hēi de zhè ràng bù shǎo rén hài pà,"Most stinky tofu is deep fried. It is blackish in color, which makes many people afraid."
同事,同事,tóng shì,"colleague
co-worker",我们公司有一个漂亮的女同事。,我們公司有一個漂亮的女同事。,wǒ men gōng sī yǒu yí ge piào liang de nǚ tóng shì,At our company we have a beautiful female colleague.
菜单,菜單,cài dān,menu,服务员：这边请。这是我们的菜单。,服務員：這邊請。這是我們的菜單。,fú wù yuán zhè biān qǐng zhè shì wǒ men de cài dān,Waiter: Please come this way. This is our menu.
现金,現金,xiàn jīn,cash,服务员：好的。请问您用现金还是刷卡？,服務員：好的。請問您用現金還是刷卡？,fú wù yuán hǎo de qǐng wèn nín yòng xiàn jīn hái shi shuā kǎ,Clerk: Sure. Will you use cash or card?
账单,帳單,zhàng dān,"bill
check",爱米：服务员，你好。这是我的账单和钱。多的是给你的小费。,愛米：服務員，你好。這是我的帳單和錢。多的是給你的小費。,ài mǐ fú wù yuán nǐ hǎo zhè shì wǒ de zhàng dān hé qián duō de shì gěi nǐ de xiǎo fèi,"Amy: Hello, waiter. This is my check and money. The extra is your tip."
小费,小費,xiǎo fèi,"tip
gratuity",要不要给小费？,要不要給小費？,yào bú yào gěi xiǎo fèi,Should I Tip?
身体,身體,shēn tǐ,one’s health,男人的身体不太好，他又冷又累，慢慢地走着。,男人的身體不太好，他又冷又累，慢慢地走著。,nán rén de shēn tǐ bú tài hǎo tā yòu lěng yòu lèi màn man de zǒu zhe,"The man’s health was not good. He was cold and tired, and he walked slowly."
电车,電車,diàn chē,"tram
tramcar
streetcar",晚上十一点。电车来了，一个男人下了车。,晚上十一點。電車來了，一個男人下了車。,wǎn shang shí yī diǎn diàn chē lái le yí ge nán rén xià le chē,"Eleven o’clock in the evening. The tram arrived, and a man got off."
爬山,爬山,pá shān,"to climb a mountain
hiking",你想去爬山吗？,你想去爬山嗎？,nǐ xiǎng qù pá shān ma,Do You Want To Go Hiking?
圆,圓,yuán,"circle
round
spherical",中秋节这天，月亮是最圆最大的。,中秋節這天，月亮是最圓最大的。,zhōng qiū jié zhè tiān yuè liang shì zuì yuán zuì dà de,The day of the Mid-Autumn Festival is when the moon is its most round and big.
开心,開心,kāi xīn,"to feel happy
to rejoice
to have a great time",爱米：开心。北京好大！,愛米：開心。北京好大！,ài mǐ kāi xīn běi jīng hǎo dà,Amy: I am. Beijing is so big!
词,詞,cí,word,在汉语中，“蛋”是一个很有意思的词，,在漢語中，“蛋”是一個很有意思的詞，,zài hàn yǔ zhōng dàn shì yí ge hěn yǒu yì si de cí,“Egg” is a very interesting word in the Chinese language.
马上,馬上,mǎ shàng,"at once
right away
immediately",前台：您好，非常对不起。我马上让人上去看一看。,前臺：您好，非常對不起。我馬上讓人上去看一看。,qián tái nín hǎo fēi cháng duì bu qǐ wǒ mǎ shàng ràng rén shàng qù kàn yí kàn,"Front desk: Hello, I’m very sorry. I’ll have someone up there right away to take a look."
洗澡,洗澡,xǐ zǎo,"to bathe
to take a shower",爱米：你好，我是607房间的客人。我想洗澡，但是我的房间没有热水，你能帮帮我吗？,愛米：你好，我是607房間的客人。我想洗澡，但是我的房間沒有熱水，你能幫幫我嗎？,ài mǐ nǐ hǎo wǒ shì 607 fáng jiān de kè rén wǒ xiǎng xǐ zǎo dàn shì wǒ de fáng jiān méi yǒu rè shuǐ nǐ néng bāng bāng wǒ ma,"Amy: Hello, I am the guest in room 607. I want to take a shower, but there’s no hot water in my room. Can you help me?"
客人,客人,kè rén,"visitor
guest",爱米：你好，我是607房间的客人。我想洗澡，但是我的房间没有热水，你能帮帮我吗？,愛米：你好，我是607房間的客人。我想洗澡，但是我的房間沒有熱水，你能幫幫我嗎？,ài mǐ nǐ hǎo wǒ shì 607 fáng jiān de kè rén wǒ xiǎng xǐ zǎo dàn shì wǒ de fáng jiān méi yǒu rè shuǐ nǐ néng bāng bāng wǒ ma,"Amy: Hello, I am the guest in room 607. I want to take a shower, but there’s no hot water in my room. Can you help me?"
楼,樓,lóu,floor (of a building),您的房间号是607，在六楼。请从这儿坐电梯上六楼。,您的房間號是607，在六樓。請從這兒坐電梯上六樓。,nín de fáng jiān hào shì 607 zài liù lóu qǐng cóng zhè‘r zuò diàn tī shàng liù lóu,"Your room number is 607, on the sixth floor. Please take the elevator from here to the sixth floor."
订,訂,dìng,to order,前台：有，在那儿。您也可以打电话给天天饭店订外卖，请他们送到酒店来，,前臺：有，在那兒。您也可以打電話給天天飯店訂外賣，請他們送到酒店來，,qián tái yǒu zài nà'r nín yě kě yǐ dǎ diàn huà gěi tiān tiān fàn diàn dìng wài mài qǐng tā men sòng dào jiǔ diàn lái,"Front desk: Yes, it’s over there. You can also call Tian Tian Restaurant to order takeout and have them deliver it to the hotel."
分钟,分鐘,fēn zhōng,minute,前台：不远。走路十分钟就能到。,前臺：不遠。走路十分鐘就能到。,qián tái bù yuǎn zǒu lù shí fēn zhōng jiù néng dào,"Front desk: No, it’s not far.  It’s not far. It’s just a 10-minute walk."
